,0,1
821,벼,-11.4198
822,윙,-11.4198
823,짧,-11.4198
824,쿨,-11.4198
825,틸,-11.4198
826,햄,-11.4198
827,듭,-11.471
828,롭,-11.471
829,쏘,-11.471
830,억,-11.471
831,털,-11.471
832,팬,-11.471
833,팽,-11.471
834,훈,-11.471
835,객,-11.5251
836,렀,-11.5251
837,렉,-11.5251
838,맹,-11.5251
839,줌,-11.5251
840,즐,-11.5251
841,흐,-11.5251
842,Z,-11.5823
843,꼈,-11.5823
844,뜯,-11.5823
845,뢰,-11.5823
846,뮤,-11.5823
847,썹,-11.5823
848,ᆞ,-11.6429
849,넷,-11.6429
850,녁,-11.6429
851,떼,-11.6429
852,띄,-11.6429
853,뭉,-11.6429
854,융,-11.6429
855,졸,-11.6429
856,죄,-11.6429
857,쳇,-11.6429
858,헌,-11.6429
859,곧,-11.7074
860,랩,-11.7074
861,쇼,-11.7074
862,잉,-11.7074
863,죔,-11.7074
864,줍,-11.7074
865,즈,-11.7074
866,짊,-11.7074
867,짜,-11.7074
868,혹,-11.7074
869,휠,-11.7074
870,z,-11.7764
871,딸,-11.7764
872,렬,-11.7764
873,릭,-11.7764
874,셋,-11.7764
875,읽,-11.7764
876,츠,-11.7764
877,킴,-11.7764
878,꾸,-11.8505
879,낸,-11.8505
880,론,-11.8505
881,밧,-11.8505
882,셀,-11.8505
883,웠,-11.8505
884,율,-11.8505
885,쟈,-11.8505
886,쥐,-11.8505
887,켰,-11.8505
888,힐,-11.8505
889,굼,-11.9306
890,득,-11.9306
891,밥,-11.9306
892,빛,-11.9306
893,솟,-11.9306
894,쉘,-11.9306
895,꼽,-12.0176
896,녀,-12.0176
897,닛,-12.0176
898,댄,-12.0176
899,됐,-12.0176
900,봐,-12.0176
901,얹,-12.0176
902,찜,-12.0176
903,컬,-12.0176
904,쿠,-12.0176
905,풋,-12.0176
906,&,-12.1129
907,ᄀ,-12.1129
908,덜,-12.1129
909,덧,-12.1129
910,랐,-12.1129
911,륨,-12.1129
912,릿,-12.1129
913,밞,-12.1129
914,씌,-12.1129
915,얘,-12.1129
916,젠,-12.1129
917,챙,-12.1129
918,컴,-12.1129
919,쿵,-12.1129
920,톨,-12.1129
921,%,-12.2183
922,內,-12.2183
923,굳,-12.2183
924,궁,-12.2183
925,늬,-12.2183
926,똥,-12.2183
927,맥,-12.2183
928,뻐,-12.2183
929,섯,-12.2183
930,쇳,-12.2183
931,튜,-12.2183
932,픔,-12.2183
933,갓,-12.336
934,겁,-12.336
935,냄,-12.336
936,넓,-12.336
937,뇨,-12.336
938,됩,-12.336
939,딘,-12.336
940,럴,-12.336
941,렵,-12.336
942,숨,-12.336
943,숲,-12.336
944,쉴,-12.336
945,쉼,-12.336
946,썬,-12.336
947,욱,-12.336
948,잇,-12.336
949,헐,-12.336
950,훅,-12.336
951,Φ,-12.4696
952,굵,-12.4696
953,굿,-12.4696
954,깡,-12.4696
955,뀌,-12.4696
956,닉,-12.4696
957,닺,-12.4696
958,돼,-12.4696
959,딴,-12.4696
960,럿,-12.4696
961,렁,-12.4696
962,륙,-12.4696
963,벡,-12.4696
964,뻘,-12.4696
965,샷,-12.4696
966,엎,-12.4696
967,잦,-12.4696
968,짓,-12.4696
969,캔,-12.4696
970,컵,-12.4696
971,탐,-12.4696
972,펠,-12.4696
973,햇,-12.4696
974,혁,-12.4696
975,<,-12.6237
976,Q,-12.6237
977,ᅵ,-12.6237
978,□,-12.6237
979,▶,-12.6237
980,갖,-12.6237
981,깐,-12.6237
982,깜,-12.6237
983,껏,-12.6237
984,끔,-12.6237
985,낼,-12.6237
986,뉴,-12.6237
987,딜,-12.6237
988,땀,-12.6237
989,략,-12.6237
990,맴,-12.6237
991,멀,-12.6237
992,밭,-12.6237
993,뻔,-12.6237
994,샘,-12.6237
995,셧,-12.6237
996,쉽,-12.6237
997,슁,-12.6237
998,엿,-12.6237
999,퀘,-12.6237
1000,퀵,-12.6237
